c5,c119,c119_coref,c119_ner,c119_pos,c119_lemmatized,c119_dependency,c119_sentiment,corefs
19860620040099I,ENGINE QUIT ON FINAL AFTER PILOT SWITCHED ON EMERGENCY AUX FUEL PUMP. STRUCK A SNOW STAKE LANDING ON A HIGHWAY.    ,[],"[('SNOW', 'ORG')]","[('ENGINE', 'NOUN'), ('QUIT', 'VERB'), ('ON', 'ADP'), ('FINAL', 'PROPN'), ('AFTER', 'ADP'), ('PILOT', 'PROPN'), ('SWITCHED', 'PROPN'), ('ON', 'PROPN'), ('EMERGENCY', 'PROPN'), ('AUX', 'PROPN'), ('FUEL', 'PROPN'), ('PUMP', 'PROPN'), ('.', 'PUNCT'), ('STRUCK', 'VERB'), ('A', 'DET'), ('SNOW', 'NOUN'), ('STAKE', 'NOUN'), ('LANDING', 'NOUN'), ('ON', 'ADP'), ('A', 'DET'), ('HIGHWAY', 'PROPN'), ('.', 'PUNCT'), ('   ', 'SPACE')]","['engine', 'quit', 'on', 'FINAL', 'after', 'PILOT', 'SWITCHED', 'ON', 'EMERGENCY', 'AUX', 'FUEL', 'PUMP', '.', 'strike', 'a', 'snow', 'stake', 'landing', 'on', 'a', 'HIGHWAY', '.', '   ']","[('ENGINE', 'nsubj', 'QUIT'), ('QUIT', 'ROOT', 'QUIT'), ('ON', 'prep', 'QUIT'), ('FINAL', 'pobj', 'ON'), ('AFTER', 'mark', 'SWITCHED'), ('PILOT', 'nsubj', 'SWITCHED'), ('SWITCHED', 'advcl', 'QUIT'), ('ON', 'prep', 'SWITCHED'), ('EMERGENCY', 'compound', 'PUMP'), ('AUX', 'compound', 'PUMP'), ('FUEL', 'compound', 'PUMP'), ('PUMP', 'pobj', 'ON'), ('.', 'punct', 'QUIT'), ('STRUCK', 'ROOT', 'STRUCK'), ('A', 'det', 'LANDING'), ('SNOW', 'compound', 'STAKE'), ('STAKE', 'compound', 'LANDING'), ('LANDING', 'dobj', 'STRUCK'), ('ON', 'prep', 'LANDING'), ('A', 'det', 'HIGHWAY'), ('HIGHWAY', 'pobj', 'ON'), ('.', 'punct', 'STRUCK'), ('   ', '', '.')]",0.0,[]
19860618030849A,"ENGINE QUIT. LANDING GEAR HIT POST, COLLAPSED ON TOUCHDOWN. PAPER COVERING AIR INLET. HAD JUST BEEN PAINTED.       ",[],"[('COLLAPSED', 'ORG'), ('COVERING AIR INLET', 'PRODUCT')]","[('ENGINE', 'PROPN'), ('QUIT', 'PROPN'), ('.', 'PUNCT'), ('LANDING', 'NOUN'), ('GEAR', 'NOUN'), ('HIT', 'PROPN'), ('POST', 'PROPN'), (',', 'PUNCT'), ('COLLAPSED', 'VERB'), ('ON', 'ADP'), ('TOUCHDOWN', 'PROPN'), ('.', 'PUNCT'), ('PAPER', 'NOUN'), ('COVERING', 'ADP'), ('AIR', 'PROPN'), ('INLET', 'PROPN'), ('.', 'PUNCT'), ('HAD', 'VERB'), ('JUST', 'ADV'), ('BEEN', 'VERB'), ('PAINTED', 'VERB'), ('.', 'PUNCT'), ('      ', 'SPACE')]","['ENGINE', 'QUIT', '.', 'landing', 'gear', 'HIT', 'POST', ',', 'collapse', 'on', 'TOUCHDOWN', '.', 'paper', 'covering', 'AIR', 'INLET', '.', 'have', 'just', 'be', 'paint', '.', '      ']","[('ENGINE', 'nsubj', 'QUIT'), ('QUIT', 'ROOT', 'QUIT'), ('.', 'punct', 'QUIT'), ('LANDING', 'compound', 'GEAR'), ('GEAR', 'compound', 'POST'), ('HIT', 'compound', 'POST'), ('POST', 'nsubj', 'COLLAPSED'), (',', 'punct', 'POST'), ('COLLAPSED', 'ROOT', 'COLLAPSED'), ('ON', 'prep', 'COLLAPSED'), ('TOUCHDOWN', 'pobj', 'ON'), ('.', 'punct', 'COLLAPSED'), ('PAPER', 'compound', 'COVERING'), ('COVERING', 'compound', 'INLET'), ('AIR', 'compound', 'INLET'), ('INLET', 'ROOT', 'INLET'), ('.', 'punct', 'INLET'), ('HAD', 'aux', 'PAINTED'), ('JUST', 'advmod', 'PAINTED'), ('BEEN', 'auxpass', 'PAINTED'), ('PAINTED', 'ROOT', 'PAINTED'), ('.', 'punct', 'PAINTED'), ('      ', '', '.')]",0.0,[]
19860606031769I,PRECAUTIONARY LANDING AFTER LOW OIL PRESSURE LIGHT CAME ON. ADDED OIL AND CONTINUED SOLO STUDENT CROSS COUNTRY.    ,[],[],"[('PRECAUTIONARY', 'ADJ'), ('LANDING', 'NOUN'), ('AFTER', 'ADP'), ('LOW', 'ADJ'), ('OIL', 'NOUN'), ('PRESSURE', 'NOUN'), ('LIGHT', 'NOUN'), ('CAME', 'VERB'), ('ON', 'PART'), ('.', 'PUNCT'), ('ADDED', 'VERB'), ('OIL', 'NOUN'), ('AND', 'CCONJ'), ('CONTINUED', 'VERB'), ('SOLO', 'PROPN'), ('STUDENT', 'PROPN'), ('CROSS', 'PROPN'), ('COUNTRY', 'PROPN'), ('.', 'PUNCT'), ('   ', 'SPACE')]","['precautionary', 'landing', 'after', 'low', 'oil', 'pressure', 'light', 'come', 'on', '.', 'add', 'oil', 'and', 'continue', 'SOLO', 'STUDENT', 'CROSS', 'COUNTRY', '.', '   ']","[('PRECAUTIONARY', 'amod', 'LANDING'), ('LANDING', 'ROOT', 'LANDING'), ('AFTER', 'mark', 'CAME'), ('LOW', 'compound', 'LIGHT'), ('OIL', 'compound', 'PRESSURE'), ('PRESSURE', 'compound', 'LIGHT'), ('LIGHT', 'nsubj', 'CAME'), ('CAME', 'ROOT', 'CAME'), ('ON', 'advmod', 'CAME'), ('.', 'punct', 'CAME'), ('ADDED', 'compound', 'OIL'), ('OIL', 'ROOT', 'OIL'), ('AND', 'cc', 'OIL'), ('CONTINUED', 'amod', 'COUNTRY'), ('SOLO', 'compound', 'CROSS'), ('STUDENT', 'compound', 'CROSS'), ('CROSS', 'compound', 'COUNTRY'), ('COUNTRY', 'conj', 'OIL'), ('.', 'punct', 'OIL'), ('   ', '', '.')]",0.1333333333333333,[]
19860524019599A,STRUCK POST DURING FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL LINES.                                     ,[],[],"[('STRUCK', 'VERB'), ('POST', 'PROPN'), ('DURING', 'ADP'), ('FORCED', 'PROPN'), ('LANDING', 'NOUN'), ('AFTER', 'ADP'), ('POWER', 'PROPN'), ('LOSS', 'PROPN'), ('.', 'PUNCT'), ('FOUND', 'VERB'), ('WATER', 'NOUN'), ('IN', 'ADP'), ('FUEL', 'NOUN'), ('LINES', 'NOUN'), ('.', 'PUNCT'), ('                                    ', 'SPACE')]","['strike', 'POST', 'during', 'FORCED', 'landing', 'after', 'POWER', 'LOSS', '.', 'find', 'water', 'in', 'fuel', 'line', '.', '                                    ']","[('STRUCK', 'ROOT', 'STRUCK'), ('POST', 'dobj', 'STRUCK'), ('DURING', 'prep', 'STRUCK'), ('FORCED', 'compound', 'LANDING'), ('LANDING', 'pobj', 'DURING'), ('AFTER', 'ROOT', 'AFTER'), ('POWER', 'compound', 'LOSS'), ('LOSS', 'pobj', 'AFTER'), ('.', 'punct', 'AFTER'), ('FOUND', 'ROOT', 'FOUND'), ('WATER', 'dobj', 'FOUND'), ('IN', 'prep', 'FOUND'), ('FUEL', 'compound', 'LINES'), ('LINES', 'pobj', 'IN'), ('.', 'punct', 'FOUND'), ('                                    ', '', '.')]",-0.3,[]
19860610027169A,IMPACTED GROUND AND BURNED AFTER ENGINE QUIT ON A TEST FLIGHT. FOUND A TIE DOWN ROPE WRAPPED AROUND ROTOR BLADE.   ,[],"[('TIE', 'ORG')]","[('IMPACTED', 'VERB'), ('GROUND', 'NOUN'), ('AND', 'CCONJ'), ('BURNED', 'VERB'), ('AFTER', 'ADP'), ('ENGINE', 'PROPN'), ('QUIT', 'VERB'), ('ON', 'ADP'), ('A', 'DET'), ('TEST', 'NOUN'), ('FLIGHT', 'PROPN'), ('.', 'PUNCT'), ('FOUND', 'VERB'), ('A', 'DET'), ('TIE', 'NOUN'), ('DOWN', 'ADP'), ('ROPE', 'NOUN'), ('WRAPPED', 'VERB'), ('AROUND', 'ADP'), ('ROTOR', 'PROPN'), ('BLADE', 'PROPN'), ('.', 'PUNCT'), ('  ', 'SPACE')]","['impact', 'ground', 'and', 'burn', 'after', 'ENGINE', 'QUIT', 'on', 'a', 'test', 'FLIGHT', '.', 'find', 'a', 'tie', 'down', 'rope', 'wrap', 'around', 'ROTOR', 'BLADE', '.', '  ']","[('IMPACTED', 'amod', 'GROUND'), ('GROUND', 'ROOT', 'GROUND'), ('AND', 'cc', 'GROUND'), ('BURNED', 'conj', 'GROUND'), ('AFTER', 'mark', 'QUIT'), ('ENGINE', 'nsubj', 'QUIT'), ('QUIT', 'advcl', 'BURNED'), ('ON', 'prep', 'QUIT'), ('A', 'det', 'FLIGHT'), ('TEST', 'compound', 'FLIGHT'), ('FLIGHT', 'pobj', 'ON'), ('.', 'punct', 'GROUND'), ('FOUND', 'ROOT', 'FOUND'), ('A', 'det', 'ROPE'), ('TIE', 'compound', 'ROPE'), ('DOWN', 'compound', 'ROPE'), ('ROPE', 'nsubj', 'WRAPPED'), ('WRAPPED', 'ccomp', 'FOUND'), ('AROUND', 'prep', 'WRAPPED'), ('ROTOR', 'compound', 'BLADE'), ('BLADE', 'pobj', 'AROUND'), ('.', 'punct', 'FOUND'), ('  ', '', '.')]",-0.1555555555555555,[]
19860703032259A,THE ENGINE LOST POWER SHORTLY AFTER TAKEOFF. WATER WAS FOUND IN THE CARBURETOR.TANKS WERE NOT DRAINED AFTER TOPOFF.,[],"[('ENGINE', 'ORG'), ('THE CARBURETOR.TANKS WERE NOT DRAINED AFTER TOPOFF', 'WORK_OF_ART')]","[('THE', 'DET'), ('ENGINE', 'NOUN'), ('LOST', 'VERB'), ('POWER', 'NOUN'), ('SHORTLY', 'ADV'), ('AFTER', 'ADP'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('WATER', 'NOUN'), ('WAS', 'VERB'), ('FOUND', 'VERB'), ('IN', 'ADP'), ('THE', 'DET'), ('CARBURETOR.TANKS', 'NOUN'), ('WERE', 'VERB'), ('NOT', 'ADV'), ('DRAINED', 'VERB'), ('AFTER', 'ADP'), ('TOPOFF', 'PROPN'), ('.', 'PUNCT')]","['the', 'engine', 'lose', 'power', 'shortly', 'after', 'TAKEOFF', '.', 'water', 'be', 'find', 'in', 'the', 'carburetor.tank', 'be', 'not', 'drain', 'after', 'TOPOFF', '.']","[('THE', 'det', 'ENGINE'), ('ENGINE', 'nsubj', 'LOST'), ('LOST', 'ROOT', 'LOST'), ('POWER', 'dobj', 'LOST'), ('SHORTLY', 'advmod', 'LOST'), ('AFTER', 'prep', 'SHORTLY'), ('TAKEOFF', 'pobj', 'AFTER'), ('.', 'punct', 'LOST'), ('WATER', 'nsubjpass', 'FOUND'), ('WAS', 'auxpass', 'FOUND'), ('FOUND', 'ROOT', 'FOUND'), ('IN', 'prep', 'FOUND'), ('THE', 'det', 'CARBURETOR.TANKS'), ('CARBURETOR.TANKS', 'pobj', 'IN'), ('WERE', 'auxpass', 'DRAINED'), ('NOT', 'neg', 'DRAINED'), ('DRAINED', 'ccomp', 'FOUND'), ('AFTER', 'prep', 'DRAINED'), ('TOPOFF', 'pobj', 'AFTER'), ('.', 'punct', 'FOUND')]",0.0,[]
19860603021539A,BRAKES RELEASED DURING TAKEOFF ROLL ON A SHORT RUNWAY. AIRCRAFT WOULD NOT CLIMB AND WAS DITCHED IN THE WATER.      ,[],[],"[('BRAKES', 'PROPN'), ('RELEASED', 'VERB'), ('DURING', 'ADP'), ('TAKEOFF', 'PROPN'), ('ROLL', 'PROPN'), ('ON', 'ADP'), ('A', 'DET'), ('SHORT', 'ADJ'), ('RUNWAY', 'NOUN'), ('.', 'PUNCT'), ('AIRCRAFT', 'NOUN'), ('WOULD', 'VERB'), ('NOT', 'ADV'), ('CLIMB', 'VERB'), ('AND', 'CCONJ'), ('WAS', 'VERB'), ('DITCHED', 'VERB'), ('IN', 'ADP'), ('THE', 'DET'), ('WATER', 'NOUN'), ('.', 'PUNCT'), ('     ', 'SPACE')]","['BRAKES', 'release', 'during', 'TAKEOFF', 'ROLL', 'on', 'a', 'short', 'runway', '.', 'aircraft', 'WOULD', 'not', 'climb', 'and', 'be', 'ditch', 'in', 'the', 'water', '.', '     ']","[('BRAKES', 'nsubj', 'RELEASED'), ('RELEASED', 'ROOT', 'RELEASED'), ('DURING', 'prep', 'RELEASED'), ('TAKEOFF', 'compound', 'ROLL'), ('ROLL', 'pobj', 'DURING'), ('ON', 'prep', 'ROLL'), ('A', 'det', 'RUNWAY'), ('SHORT', 'amod', 'RUNWAY'), ('RUNWAY', 'pobj', 'ON'), ('.', 'punct', 'RELEASED'), ('AIRCRAFT', 'nsubj', 'CLIMB'), ('WOULD', 'aux', 'CLIMB'), ('NOT', 'neg', 'CLIMB'), ('CLIMB', 'ROOT', 'CLIMB'), ('AND', 'cc', 'CLIMB'), ('WAS', 'auxpass', 'DITCHED'), ('DITCHED', 'conj', 'CLIMB'), ('IN', 'prep', 'DITCHED'), ('THE', 'det', 'WATER'), ('WATER', 'pobj', 'IN'), ('.', 'punct', 'CLIMB'), ('     ', '', '.')]",0.0,[]
19860720058829I,REQUESTED IFR DESCENT THROUGH UNFORECAST WEATHER TO VFR.AIRCRAFT NOT IFR CERTIFIED.NO STATIC OR ALTIMETER CHECK.   ,[],"[('IFR DESCENT', 'ORG')]","[('REQUESTED', 'VERB'), ('IFR', 'PROPN'), ('DESCENT', 'PROPN'), ('THROUGH', 'ADP'), ('UNFORECAST', 'PROPN'), ('WEATHER', 'PROPN'), ('TO', 'ADP'), ('VFR.AIRCRAFT', 'NOUN'), ('NOT', 'ADV'), ('IFR', 'PROPN'), ('CERTIFIED.NO', 'PROPN'), ('STATIC', 'PROPN'), ('OR', 'CCONJ'), ('ALTIMETER', 'PROPN'), ('CHECK', 'VERB'), ('.', 'PUNCT'), ('  ', 'SPACE')]","['request', 'IFR', 'DESCENT', 'through', 'UNFORECAST', 'WEATHER', 'to', 'vfr.aircraft', 'not', 'IFR', 'CERTIFIED.NO', 'STATIC', 'or', 'ALTIMETER', 'check', '.', '  ']","[('REQUESTED', 'ROOT', 'REQUESTED'), ('IFR', 'compound', 'DESCENT'), ('DESCENT', 'dobj', 'REQUESTED'), ('THROUGH', 'prep', 'REQUESTED'), ('UNFORECAST', 'compound', 'WEATHER'), ('WEATHER', 'pobj', 'THROUGH'), ('TO', 'prep', 'REQUESTED'), ('VFR.AIRCRAFT', 'pobj', 'TO'), ('NOT', 'neg', 'IFR'), ('IFR', 'nsubj', 'CERTIFIED.NO'), ('CERTIFIED.NO', 'ROOT', 'CERTIFIED.NO'), ('STATIC', 'nmod', 'CHECK'), ('OR', 'cc', 'STATIC'), ('ALTIMETER', 'conj', 'STATIC'), ('CHECK', 'dobj', 'CERTIFIED.NO'), ('.', 'punct', 'CERTIFIED.NO'), ('  ', '', '.')]",0.5,[]
19860709031529A,PILOT WAS NOTIFIED OF TRAILING SMOKE ON TAKEOFF. ENGINE SEIZED. LANDED IN A FIELD. OIL FILTER CAP NOT SECURED.     ,[],[],"[('PILOT', 'NOUN'), ('WAS', 'VERB'), ('NOTIFIED', 'ADV'), ('OF', 'ADP'), ('TRAILING', 'VERB'), ('SMOKE', 'NOUN'), ('ON', 'ADP'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('ENGINE', 'NOUN'), ('SEIZED', 'VERB'), ('.', 'PUNCT'), ('LANDED', 'VERB'), ('IN', 'ADP'), ('A', 'DET'), ('FIELD', 'NOUN'), ('.', 'PUNCT'), ('OIL', 'NOUN'), ('FILTER', 'NOUN'), ('CAP', 'PROPN'), ('NOT', 'ADV'), ('SECURED', 'VERB'), ('.', 'PUNCT'), ('    ', 'SPACE')]","['pilot', 'be', 'notified', 'of', 'trail', 'smoke', 'on', 'TAKEOFF', '.', 'engine', 'seize', '.', 'land', 'in', 'a', 'field', '.', 'oil', 'filter', 'CAP', 'not', 'secure', '.', '    ']","[('PILOT', 'nsubjpass', 'NOTIFIED'), ('WAS', 'auxpass', 'NOTIFIED'), ('NOTIFIED', 'ROOT', 'NOTIFIED'), ('OF', 'prep', 'NOTIFIED'), ('TRAILING', 'compound', 'SMOKE'), ('SMOKE', 'pobj', 'OF'), ('ON', 'prep', 'NOTIFIED'), ('TAKEOFF', 'pobj', 'ON'), ('.', 'punct', 'NOTIFIED'), ('ENGINE', 'compound', 'SEIZED'), ('SEIZED', 'ROOT', 'SEIZED'), ('.', 'punct', 'SEIZED'), ('LANDED', 'ROOT', 'LANDED'), ('IN', 'prep', 'LANDED'), ('A', 'det', 'FIELD'), ('FIELD', 'pobj', 'IN'), ('.', 'punct', 'LANDED'), ('OIL', 'compound', 'CAP'), ('FILTER', 'compound', 'CAP'), ('CAP', 'nsubj', 'SECURED'), ('NOT', 'neg', 'SECURED'), ('SECURED', 'ROOT', 'SECURED'), ('.', 'punct', 'SECURED'), ('    ', '', '.')]",0.0,[]
19860702029819A,THE AIRCRAFT FLEW INTO THE GROUND AFTER LIFTOFF. THE PILOT FAILED TO UNLOCK THE CONTROLS BEFORE TAKEOFF.           ,"[THE AIRCRAFT: [THE AIRCRAFT, THE PILOT]]",[],"[('THE', 'DET'), ('AIRCRAFT', 'PROPN'), ('FLEW', 'VERB'), ('INTO', 'ADP'), ('THE', 'DET'), ('GROUND', 'NOUN'), ('AFTER', 'ADP'), ('LIFTOFF', 'PROPN'), ('.', 'PUNCT'), ('THE', 'DET'), ('PILOT', 'PROPN'), ('FAILED', 'VERB'), ('TO', 'PART'), ('UNLOCK', 'VERB'), ('THE', 'DET'), ('CONTROLS', 'PROPN'), ('BEFORE', 'ADP'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('          ', 'SPACE')]","['the', 'AIRCRAFT', 'fly', 'into', 'the', 'ground', 'after', 'LIFTOFF', '.', 'the', 'PILOT', 'fail', 'to', 'unlock', 'the', 'CONTROLS', 'before', 'TAKEOFF', '.', '          ']","[('THE', 'det', 'AIRCRAFT'), ('AIRCRAFT', 'nsubj', 'FLEW'), ('FLEW', 'ROOT', 'FLEW'), ('INTO', 'prep', 'FLEW'), ('THE', 'det', 'GROUND'), ('GROUND', 'pobj', 'INTO'), ('AFTER', 'prep', 'FLEW'), ('LIFTOFF', 'pobj', 'AFTER'), ('.', 'punct', 'FLEW'), ('THE', 'det', 'PILOT'), ('PILOT', 'nsubj', 'FAILED'), ('FAILED', 'ROOT', 'FAILED'), ('TO', 'aux', 'UNLOCK'), ('UNLOCK', 'xcomp', 'FAILED'), ('THE', 'det', 'CONTROLS'), ('CONTROLS', 'dobj', 'UNLOCK'), ('BEFORE', 'prep', 'UNLOCK'), ('TAKEOFF', 'pobj', 'BEFORE'), ('.', 'punct', 'FAILED'), ('          ', '', '.')]",-0.5,"[[[0, 1], [9, 10]]]"
19860525019479A,HIGH WIND TAKEOFF. DRIFTED FAST TOWARDS POWERLINE. TRIED CLIMB BUT ENCOUNTERED DOWN DRAFTS. NO TEST BALLOON USED.  ,[],"[('POWERLINE', 'ORG')]","[('HIGH', 'ADJ'), ('WIND', 'PROPN'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('DRIFTED', 'VERB'), ('FAST', 'ADV'), ('TOWARDS', 'ADP'), ('POWERLINE', 'PROPN'), ('.', 'PUNCT'), ('TRIED', 'ADV'), ('CLIMB', 'VERB'), ('BUT', 'CCONJ'), ('ENCOUNTERED', 'VERB'), ('DOWN', 'ADP'), ('DRAFTS', 'NOUN'), ('.', 'PUNCT'), ('NO', 'DET'), ('TEST', 'NOUN'), ('BALLOON', 'NOUN'), ('USED', 'VERB'), ('.', 'PUNCT'), (' ', 'SPACE')]","['high', 'WIND', 'TAKEOFF', '.', 'drift', 'fast', 'towards', 'POWERLINE', '.', 'tried', 'climb', 'but', 'encounter', 'down', 'draft', '.', 'no', 'test', 'balloon', 'use', '.', ' ']","[('HIGH', 'amod', 'TAKEOFF'), ('WIND', 'compound', 'TAKEOFF'), ('TAKEOFF', 'ROOT', 'TAKEOFF'), ('.', 'punct', 'TAKEOFF'), ('DRIFTED', 'advmod', 'FAST'), ('FAST', 'ROOT', 'FAST'), ('TOWARDS', 'prep', 'FAST'), ('POWERLINE', 'pobj', 'TOWARDS'), ('.', 'punct', 'FAST'), ('TRIED', 'ROOT', 'TRIED'), ('CLIMB', 'dobj', 'TRIED'), ('BUT', 'cc', 'ENCOUNTERED'), ('ENCOUNTERED', 'ROOT', 'ENCOUNTERED'), ('DOWN', 'prt', 'ENCOUNTERED'), ('DRAFTS', 'dobj', 'ENCOUNTERED'), ('.', 'punct', 'ENCOUNTERED'), ('NO', 'det', 'USED'), ('TEST', 'compound', 'BALLOON'), ('BALLOON', 'compound', 'USED'), ('USED', 'ROOT', 'USED'), ('.', 'punct', 'USED'), (' ', '', '.')]",0.0681481481481481,[]
19860727035059A,ENGINE FAILED DURING TAKEOFF. THE PILOT HAD NOT RESET THE FUEL SELECTOR AFTER FILLING SMOKE TANK WITH OIL.         ,[],[],"[('ENGINE', 'NOUN'), ('FAILED', 'VERB'), ('DURING', 'ADP'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('THE', 'DET'), ('PILOT', 'NOUN'), ('HAD', 'VERB'), ('NOT', 'ADV'), ('RESET', 'VERB'), ('THE', 'DET'), ('FUEL', 'NOUN'), ('SELECTOR', 'NOUN'), ('AFTER', 'ADP'), ('FILLING', 'VERB'), ('SMOKE', 'NOUN'), ('TANK', 'NOUN'), ('WITH', 'ADP'), ('OIL', 'NOUN'), ('.', 'PUNCT'), ('        ', 'SPACE')]","['engine', 'fail', 'during', 'TAKEOFF', '.', 'the', 'pilot', 'have', 'not', 'reset', 'the', 'fuel', 'selector', 'after', 'fill', 'smoke', 'tank', 'with', 'oil', '.', '        ']","[('ENGINE', 'nsubj', 'FAILED'), ('FAILED', 'ROOT', 'FAILED'), ('DURING', 'prep', 'FAILED'), ('TAKEOFF', 'pobj', 'DURING'), ('.', 'punct', 'FAILED'), ('THE', 'det', 'PILOT'), ('PILOT', 'nsubj', 'RESET'), ('HAD', 'aux', 'RESET'), ('NOT', 'neg', 'RESET'), ('RESET', 'ROOT', 'RESET'), ('THE', 'det', 'SELECTOR'), ('FUEL', 'compound', 'SELECTOR'), ('SELECTOR', 'dobj', 'RESET'), ('AFTER', 'prep', 'RESET'), ('FILLING', 'pcomp', 'AFTER'), ('SMOKE', 'compound', 'TANK'), ('TANK', 'dobj', 'FILLING'), ('WITH', 'prep', 'FILLING'), ('OIL', 'pobj', 'WITH'), ('.', 'punct', 'RESET'), ('        ', '', '.')]",-0.5,[]
19860512017019A,"FAILED TO VISUALLY CHECK FUEL IN TANKS. RAN RIGHT TANK DRY ON TAKEOFF. LANDED IN A CLEARING, HIT BRUSH, NOSED OVER.",[],[],"[('FAILED', 'VERB'), ('TO', 'PART'), ('VISUALLY', 'ADV'), ('CHECK', 'VERB'), ('FUEL', 'NOUN'), ('IN', 'ADP'), ('TANKS', 'NOUN'), ('.', 'PUNCT'), ('RAN', 'PROPN'), ('RIGHT', 'ADV'), ('TANK', 'NOUN'), ('DRY', 'PROPN'), ('ON', 'ADP'), ('TAKEOFF', 'PROPN'), ('.', 'PUNCT'), ('LANDED', 'VERB'), ('IN', 'ADP'), ('A', 'DET'), ('CLEARING', 'NOUN'), (',', 'PUNCT'), ('HIT', 'PROPN'), ('BRUSH', 'NOUN'), (',', 'PUNCT'), ('NOSED', 'PROPN'), ('OVER', 'ADV'), ('.', 'PUNCT')]","['fail', 'to', 'visually', 'check', 'fuel', 'in', 'tank', '.', 'RAN', 'right', 'tank', 'DRY', 'on', 'TAKEOFF', '.', 'land', 'in', 'a', 'clearing', ',', 'HIT', 'brush', ',', 'NOSED', 'over', '.']","[('FAILED', 'ROOT', 'FAILED'), ('TO', 'aux', 'CHECK'), ('VISUALLY', 'advmod', 'CHECK'), ('CHECK', 'xcomp', 'FAILED'), ('FUEL', 'dobj', 'CHECK'), ('IN', 'prep', 'CHECK'), ('TANKS', 'pobj', 'IN'), ('.', 'punct', 'FAILED'), ('RAN', 'ROOT', 'RAN'), ('RIGHT', 'advmod', 'TANK'), ('TANK', 'compound', 'DRY'), ('DRY', 'nsubj', 'ON'), ('ON', 'prep', 'RAN'), ('TAKEOFF', 'pobj', 'ON'), ('.', 'punct', 'RAN'), ('LANDED', 'dep', 'BRUSH'), ('IN', 'prep', 'LANDED'), ('A', 'det', 'CLEARING'), ('CLEARING', 'pobj', 'IN'), (',', 'punct', 'BRUSH'), ('HIT', 'compound', 'BRUSH'), ('BRUSH', 'ROOT', 'BRUSH'), (',', 'punct', 'BRUSH'), ('NOSED', 'compound', 'OVER'), ('OVER', 'advmod', 'BRUSH'), ('.', 'punct', 'BRUSH')]",-0.0702380952380952,[]
19860703082489A,THE ENGINE FAILED FROM FUEL CONTAMINATION.THE AIRCRAFT HAD JUST BEEN WASHED. WATER AND SOAP FOUND IN FUEL SAMPLE.  ,[],[],"[('THE', 'DET'), ('ENGINE', 'NOUN'), ('FAILED', 'VERB'), ('FROM', 'ADP'), ('FUEL', 'NOUN'), ('CONTAMINATION.THE', 'PROPN'), ('AIRCRAFT', 'NOUN'), ('HAD', 'VERB'), ('JUST', 'ADV'), ('BEEN', 'VERB'), ('WASHED', 'VERB'), ('.', 'PUNCT'), ('WATER', 'NOUN'), ('AND', 'CCONJ'), ('SOAP', 'PROPN'), ('FOUND', 'VERB'), ('IN', 'ADP'), ('FUEL', 'NOUN'), ('SAMPLE', 'PROPN'), ('.', 'PUNCT'), (' ', 'SPACE')]","['the', 'engine', 'fail', 'from', 'fuel', 'CONTAMINATION.THE', 'aircraft', 'have', 'just', 'be', 'wash', '.', 'water', 'and', 'SOAP', 'find', 'in', 'fuel', 'SAMPLE', '.', ' ']","[('THE', 'det', 'ENGINE'), ('ENGINE', 'nsubj', 'FAILED'), ('FAILED', 'ROOT', 'FAILED'), ('FROM', 'prep', 'FAILED'), ('FUEL', 'compound', 'CONTAMINATION.THE'), ('CONTAMINATION.THE', 'compound', 'AIRCRAFT'), ('AIRCRAFT', 'pobj', 'FROM'), ('HAD', 'aux', 'WASHED'), ('JUST', 'advmod', 'WASHED'), ('BEEN', 'auxpass', 'WASHED'), ('WASHED', 'ROOT', 'WASHED'), ('.', 'punct', 'WASHED'), ('WATER', 'nsubj', 'FOUND'), ('AND', 'cc', 'WATER'), ('SOAP', 'conj', 'WATER'), ('FOUND', 'ROOT', 'FOUND'), ('IN', 'prep', 'FOUND'), ('FUEL', 'compound', 'SAMPLE'), ('SAMPLE', 'pobj', 'IN'), ('.', 'punct', 'FOUND'), (' ', '', '.')]",-0.5,[]
