,c5_id,c119_input,input,corefs
102,19780610045289I,SPRING LOADED TANK DRAIN VALVE LEFT PARTIALLY OPEN. SPRAY HELICOPTER RAN OUT OF FUEL.                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '.', '19', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁26', ',', '▁1998', ',', '▁about', '▁17', '50', '▁al', 'a', 'ska', '▁standard', '▁time', ',', '▁', 'a', '▁wheel', '▁equipped', '▁ces', 's', 'n', 'a', '▁', '207', 'a', '▁airplane', ',', '▁', 'n', '7', '35', '33', ',', '▁sustained', '</s>']",[]
103,19780613045599I,ENGINE QUIT DUE TO WATER IN THE FUEL SYSTEM.                                                                       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁on', '▁', 'jun', 'e', '▁8', ',', '▁1998', 'm', '▁at', '▁10', '55', '▁hours', '▁', 'pac', 'ific', '▁daylight', '▁time', ',', '▁', 'a', '▁', 's', 'a', 'a', 'b', '▁', '91', 'b', ',', '▁', 'n', '63', '70', 'l', ',', '▁went', '▁off', '▁the', '▁end', '▁of', '▁the', '▁runway', '▁during', '▁an', '</s>']",[]
104,19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁on', '▁', 'jun', 'e', '▁17', ',', '▁1998', ',', '▁an', '▁as', '-', '350', '-', 'b', 'a', '▁helicopter', '▁', 'departed', '▁', 'l', 'i', 'h', 'u', 'e', '▁airport', '▁on', '▁the', '▁island', '▁of', '▁kau', 'a', 'i', ',', '▁', 'h', 'awa', 'i', 'i', ',', '▁the', '▁pilot', '▁had', '▁neg', 'l', '</s>']",[]
105,19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁march', '▁12', ',', '▁1998', '▁at', '▁approximately', '▁1', '100', '▁', 'c', 's', 't', ',', '▁ba', '-3', '100', ',', '▁', 'n', '83', '2', 'j', 's', ',', '▁pilot', 'e', 'd', '▁by', '▁pic', '▁je', 're', 'my', '▁', 'chin', '▁and', '▁si', 'c', '▁', 'greg', 'or', 'y', '</s>']",[]
106,19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁pilot', '▁', 'departed', '▁math', 'er', '▁field', ',', '▁', 'cali', 'for', 'n', 'i', 'a', '▁', 'en', 'route', '▁to', '▁ranch', 'o', '▁mu', 'rie', 't', 'a', ',', '▁', 'cali', 'for', 'n', 'i', 'a', '.', '▁shortly', '▁after', '▁level', '▁off', ',', '▁the', '▁', 'en', '</s>']",[]
107,19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁13', ',', '▁2001', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁ce', '-', '172', ',', '▁', 'n', '25', '29', 'l', ',', '▁made', '▁an', '▁emergency', '▁landing', '▁on', '▁', 'a', '▁frozen', '▁lake', '▁near', '▁the', '▁village', '▁of', '</s>']",[]
108,19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'nov', 'ember', '▁17', ',', '▁2002', ',', '▁at', '▁16', '30', '▁local', '▁time', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', '152', ',', '▁', 'n', '48', '23', 'l', '▁registered', '▁to', '▁aero', '▁wings', '▁in', 'c', '.', '▁and', '▁operated', '▁by', '▁', 'j', '</s>']",[]
109,19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'jan', 'u', 'ary', '▁30', ',', '▁2003', ',', '▁about', '▁03', '30', '▁al', 'a', 'ska', '▁standard', '▁time', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', '208', 'b', '▁airplane', ',', '▁', 'n', '12', '76', 'p', ',', '▁sustained', '▁substantial', '▁', 'd', '</s>']",[]
110,19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁pilot', '▁statement', ':', '▁on', '▁', 'o', 'c', 't', '.', '▁5', ',', '▁2003', '▁at', '▁approximately', '▁07', '15', 'z', ',', '▁my', '▁ces', 's', 'n', 'a', '▁18', '2', 'h', '▁(', '▁', 'n', '19', '19', 'x', ')', '▁ran', '▁out', '▁of', '▁fuel', '▁and', '▁crashed', '</s>']",[]
111,19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁march', '▁3', ',', '▁2004', ',', '▁at', '▁approximately', '▁17', '45', '▁', 'p', 's', 't', ',', '▁', 'n', '4', '27', '46', ',', '▁', 'a', '▁hot', '▁air', '▁balloon', '▁executed', '▁', 'a', '▁forced', '▁landing', '▁into', '▁', 'a', '▁', 're', 's', 'i', 'd', '</s>']",[]
112,19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁while', '▁being', '▁', 't', 'owed', '▁to', '▁gate', '▁22', ',', '▁', 'n', 'w', 'a', 'a', ',', '▁', 'a', '-', '320', '▁aircraft', ',', '▁', 'n', '3', '27', 'n', 'w', '▁coll', 'ide', 'd', '▁with', '▁the', '▁tug', '▁when', '▁the', '▁tug', '▁applied', '▁the', '▁bra', '</s>']",[]
113,19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁febr', 'u', 'ary', '▁14', ',', '▁2005', '▁about', '▁10', '30', '▁al', 'a', 'ska', '▁day', '▁light', '▁time', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', '207', '-', 'a', '▁airplane', ',', '▁', 'n', '64', '70', 'h', ',', '▁sustained', '▁minor', '▁da', 'mag', '</s>']","[[[0, 0], [16, 16]], [[5, 9], [12, 12]]]"
114,19780607010749A,FULL NOSE DOWN TRIM.                                                                                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁air', '▁', 'tran', '▁flight', '▁8', '95', ',', '▁', 'a', '▁bo', 'e', 'ing', '▁7', '17', '▁aircraft', '▁on', '▁', 'a', '▁flight', '▁from', '▁bo', 'ston', ',', '▁ma', '▁to', '▁chic', 'a', 'go', ',', '▁', 'il', '▁diver', 'ted', '▁to', '▁to', '▁champ', 'a', 'i', 'g', '</s>']",[]
115,19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'a', '▁flight', '▁from', '▁not', 'h', '▁', 'platte', ',', '▁', 'n', 'e', ',', '▁to', '▁', 'i', 'ow', 'a', '▁city', ',', '▁', 'i', 'a', ',', '▁(', '▁4', '87', '▁statute', '▁miles', ')', '▁the', '▁aircraft', '▁lost', '▁power', '▁near', '▁', 'grin', 'nell', '</s>']",[]
116,19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁07', '/', '06', '/', '2007', ',', '▁', 'crest', '▁air', 'park', '▁', 'ken', 't', '▁wash', 'ington', '▁at', '▁8', 'pm', '▁', 'n', '75', '6', 's', 'e', ',', '▁had', '▁', 'a', '▁gear', '▁up', '▁event', '▁with', '▁minor', '▁damage', '▁to', '▁the', '▁air', 'cra', 'f', '</s>']",[]
117,19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁history', '▁of', '▁flight', ';', '▁on', '▁02', '-01', '-', '96', '▁at', '▁approximately', '▁16', '25', '▁local', ',', '▁', 'm', 'ooney', '▁', 'n', '2', '31', 'c', 's', ',', '▁flow', 'n', '▁by', '▁', 'f', 'rank', '▁', 'e', '.', '▁', 'john', 'son', ',', '▁', 'r', 'a', '</s>']",[]
118,19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁history', '▁of', '▁flight', ';', '▁on', '▁09', '/', '29', '/', '96', ',', '▁at', '▁18', '34', '▁', 'c', 'd', 't', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁4', '21', 'c', ',', '▁', 'n', '76', '737', ',', '▁registered', '▁to', '▁junior', '▁food', '▁stores', ',', '▁me', '</s>']",[]
119,19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁coll', 'ide', 'd', '▁with', '▁ground', '▁during', '▁', 'a', 'g', '▁', 'ops', '.', '▁fuel', '▁pump', '▁in', 'o', 'p', '.', '▁fuel', '▁star', 'v', 'ation', '.', '▁tail', '▁', 'rot', 'or', '▁hit', ',', '▁then', '▁nose', '▁hit', '▁', 'a', '▁stump', '.', '▁(', '▁', '-', '23', ')', '▁', 'a', '</s>']",[]
120,19780625035779I,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁de', 'c', 'ember', '▁7', ',', '▁1996', ',', '▁at', '▁approximately', '▁1', '300', '▁', 'p', '.', '▁', 'm', '.', '▁', 'n', '54', '59', 'r', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', '172', 'f', '▁', 'departed', '▁fair', 'bank', 's', '▁international', '▁', 'a', '</s>']",[]
121,19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁mon', 'day', ',', '▁febr', 'u', 'ary', '▁16', ',', '▁1998', ',', '▁at', '▁07', '15', '▁est', ',', '▁', 'a', '▁ba', '▁jet', 'stream', '▁3', '201', ',', '▁', 'n', '49', '2', 'u', 'e', ',', '▁flight', '▁', '62', '69', ',', '▁operated', '▁by', '▁at', 'lant', 'i', '</s>']",[]
122,19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-5', ')', '▁on', '▁may', '▁26', ',', '▁1999', ',', '▁at', '▁approximately', '▁7', ':', '05', '▁am', '▁', 'm', 'd', 't', '▁me', 's', 'a', '▁airlines', '▁flight', '▁', '105', ',', '▁', 'a', '▁be', '-19', '00', 'd', ',', '▁tax', 'ied', '▁from', '▁the', '▁me', 's', 'a', '▁ramp', '</s>']",[]
123,19780712023399A,NO NARRATIVE.                                                                                                      ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'n', '79', '91', 'y', '▁', 'departed', '▁', 'm', 'l', 'c', ',', '▁left', '▁engine', '▁failed', ',', '▁', 'a', 'c', 'f', 't', '▁crashed', '▁2', '▁miles', '▁south', '▁of', '▁airport', '.', '▁(', '▁', '.', '19', ')', '▁on', '▁may', '▁28', ',', '▁1999', ',', '▁at', '▁16', '30', '▁centr', '</s>']",[]
124,19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁20', ',', '▁1997', ',', '▁about', '▁10', '30', '▁al', 'a', 'ska', '▁daylight', '▁time', ',', '▁the', '▁pilot', '▁of', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', '208', 'b', ',', '▁', 'n', '93', '04', 'f', ',', '▁experienced', '▁', 'a', '</s>']",[]
125,19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '.', '19', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁1', ',', '▁1998', ',', '▁at', '▁12', '30', '▁central', '▁daylight', '▁time', ',', '▁', 'a', '▁diamond', '▁aircraft', '▁industries', '▁da', '▁20', '-', 'a', '1', '▁airplane', ',', '▁', 'n', '5', '27', 's', 's', ',', '▁', 'w', '</s>']",[]
126,19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁fri', 'day', '▁', 'o', 'c', 'to', 'ber', '▁27', ',', '▁2000', ',', '▁', 'a', '▁', 'd', 'c', '-10', '▁was', '▁being', '▁mars', 'halle', 'd', '▁to', '▁', 'a', '▁parking', '▁spot', '▁by', '▁personnel', '▁of', '▁path', 'finder', ',', '▁', 'a', '▁frei', 'g', '</s>']",[]
127,19780704042039I,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁07', '/', '26', '/', '01', '▁pilot', '▁', 'rob', 'er', 't', '▁', 't', 'a', 'i', 'bed', 'eau', ',', '▁cert', '▁#', '▁20', '34', '160', ',', '▁attempted', '▁to', '▁depart', '▁', 'v', 'g', 't', '.', '▁prior', '▁to', '▁this', '▁incident', '▁this', '▁pilot', '</s>']",[]
128,19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'jun', 'e', '▁11', ',', '▁2003', '▁at', '▁approximately', '▁12', '42', '▁', 'e', 'd', 't', ',', '▁', 'a', '▁', 'ste', 'ven', '▁', 'd', '.', '▁', 'a', 'y', 'ers', '▁experimental', '▁', 'r', 'v', '-6', 'a', '▁aircraft', '▁crashed', '▁during', '▁take', '</s>']",[]
129,19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁american', '▁airlines', '▁flight', '▁#', '▁8', '47', ',', '▁', 'b', '-', '73', '7-8', '23', ',', '▁', 'n', '97', '2', 'an', ',', '▁while', '▁', 'parked', '▁at', '▁bo', 'ston', '▁terminal', '▁', 'b', ',', '▁gate', '▁26', ',', '▁was', '▁struck', '▁by', '▁', 'a', '</s>']",[]
130,19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁pilot', '▁', 'departed', '▁au', 'rora', '▁municipal', '▁airport', '▁(', '▁2', 'h', '2', ')', ',', '▁au', 'rora', ',', '▁miss', 'o', 'uri', ',', '▁', 'v', 'f', 'r', '▁', 'en', 'route', '▁to', '▁air', '▁park', '▁south', '▁airport', '▁(', '▁2', 'k', '2', ')', ',', '</s>']",[]
131,19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁', 'a', '▁si', 'kor', 'sky', '▁', 's', '-', '70', 'a', ',', '▁', 'n', '160', 'la', ',', '▁encountered', '▁', 'a', '▁vibration', '▁after', '▁the', '▁', 'a', 'pu', '▁door', '▁struck', '▁', 'a', '▁main', '▁', 'rot', 'or', '▁blade', '▁in', 'f', 'light', '▁near', '</s>']",[]
132,19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁5', ',', '▁2005', '▁at', '▁approximately', '▁12', '50', '▁local', '▁time', ',', '▁the', '▁pilot', '▁', '^', 'pri', 'vac', 'y', '▁data', '▁', 'o', 'mitted', '^', '▁with', '▁', '^', 'pri', 'vac', 'y', '▁data', '▁', 'o', 'mit', '</s>']",[]
133,19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁sky', 'west', '▁', '63', '79', ',', '▁cr', 'j', '7', ',', '▁', 'departed', '▁', 's', 'an', '▁', 'a', 'nton', 'i', 'o', '▁at', '▁07', '15', 'c', ',', '▁febr', 'u', 'ary', '▁26', ',', '▁2006.', '▁then', '▁returned', '▁and', '▁', 'landed', '▁after', '▁burning', '</s>']",[]
134,19780808049579I,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁sept', 'ember', '▁15', ',', '▁2006', '▁at', '▁13', '09', '▁est', ',', '▁', 'a', '▁', 'lan', 'c', 'air', '▁350', ',', '▁', 'n', '6', '500', 'v', ',', '▁registered', '▁to', '▁', 'pra', 'll', '▁equipment', '▁leasing', '▁in', 'c', '.', '▁during', '▁', 'c', '</s>']",[]
135,19780808049829I,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁this', '▁flight', '▁originated', '▁at', '▁3', 's', 'q', ',', '▁', 's', 't', '.', '▁', 'char', 'les', '▁municipal', '▁(', '▁', 's', 't', '.', '▁', 'char', 'les', ',', '▁mo', ')', '▁and', '▁continued', '▁to', '▁', 'kli', 't', '▁(', '▁little', '▁rock', ',', '▁ar', '</s>']",[]
136,19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁de', 'c', 'ember', '▁01', ',', '▁2006', '▁the', '▁', 's', 'd', 'l', '▁', 'f', 's', 'd', 'o', '▁as', 'i', '▁', 'w', 'c', 'w', '▁was', '▁', 'contacted', '▁by', '▁tail', 'wind', '▁flight', '▁centre', '▁reference', '▁damage', '▁on', '▁ces', 's', 'n', 'a', '</s>']",[]
137,19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁student', '▁pilot', '▁', 'departed', '▁', 'k', 's', 'e', 'p', '▁at', '▁app', 'rox', '.', '▁10:00', '▁am', ',', '▁', 'en', 'route', '▁to', '▁kg', 'ky', '.', '▁at', '▁app', 'rox', '.', '▁1', '▁', 'n', 'm', '▁northwest', '▁of', '▁kg', 'd', 'j', '▁pilot', '▁not', '</s>']",[]
138,19780814037299I,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁as', 'a', '▁', 'f', 'l', 't', '▁45', '62', '▁(', '▁9', '22', 'e', 'v', ')', '▁', 'departed', '▁', 'o', 'm', 'a', '▁', 'en', 'route', '▁to', '▁at', 'l', '.', '▁after', '▁departure', '▁the', '▁landing', '▁gear', '▁failed', '▁to', '▁retract', '.', '▁return', 'i', '</s>']",[]
139,19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁07', '/', '02', '/', '2008', ',', '▁at', '▁approximately', '▁07', '00', '▁', 'c', 's', 't', ',', '▁', 'a', '▁general', '▁aviation', '▁accident', '▁occurred', '▁one', '▁mile', '▁', 'n', 'e', '▁of', '▁ale', 'x', 'and', 'r', 'i', 'a', ',', '▁', 'm', 'n', '</s>']",[]
140,19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'f', 'c', 'd', '▁', 'l', 'd', 'g', '▁at', '▁night', '.', '▁hard', '▁', 'l', 'd', 'g', '▁on', '▁', 'apt', '.', '▁fuel', '▁', 'stains', '▁found', '▁from', '▁', 'wing', '▁drain', 's', '▁to', '▁fuse', 'lage', '.', '▁less', '▁than', '▁2', '▁gal', 's', '▁fuel', '▁on', 'board', '.', '</s>']","[[[5, 5], [11, 11]]]"
141,19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁', 'za', '▁', 'z', 'g', '▁', 'z', 'h', '▁', 'z', 'k', '▁heavy', '▁rain', '▁with', '▁oil', '▁on', '▁windshield', '.', '▁', 'landed', '▁', 'ok', '.', '▁no', '▁oil', '▁leak', 's', '.', '▁also', '▁non', '▁compliance', '▁with', '▁', '91', '.', '27', '▁and', '▁', '91', '.', '31', '.', '</s>']","[[[3, 4], [8, 8]]]"
142,19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁at', '▁approximately', '▁5', ':', '40', '▁pm', ',', '▁fri', 'day', ',', '▁', 'jun', 'e', '▁7', ',', '▁1996', ',', '▁', 'm', 'r', '.', '▁stu', 'art', '▁', 'w', '.', '▁', 'ash', 'm', 'un', ',', '▁the', '▁pilot', '▁in', '▁command', '▁had', '▁', 'a', '▁nose', '▁ge', '</s>']",[]
143,19780907018599I,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁04/2', '7', '/', '97', '▁at', '▁6', ':', '25', '▁', 'a', '▁ces', 's', 'n', 'a', '▁caravan', ',', '▁', 'n', '303', 'g', 'v', ',', '▁', 'departed', '▁', 'kot', 'ze', 'bu', 'e', ',', '▁al', 'a', 'ska', '▁with', '▁the', '▁tail', '▁stand', '▁attached', '.', '</s>']",[]
144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁august', '▁28', ',', '▁1997', ',', '▁at', '▁17', '30', '▁', 'e', 'd', 't', '▁', 'n', '94', '01', 'p', '▁pilot', 'e', 'd', '▁by', '▁war', 'ren', '▁', 'r', '.', '▁lump', 'kins', ',', '▁lost', '▁power', '▁on', '▁take', 'off', '▁from', '▁the', '▁', 'l', 'il', '</s>']",[]
145,19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁', 'nov', 'ember', '▁21', ',', '▁1997', ',', '▁at', '▁approximately', '▁11', '30', '▁local', '▁est', ',', '▁', 'a', '▁', 'd', 'c', '-9', '-15', 'f', ',', '▁', 'n', '56', '4', 'p', 'c', ',', '▁operated', '▁by', '▁', 'k', 'itty', '▁', 'hawk', '▁air', 'car', '</s>']",[]
